书名,评分,评价人数
孩子你慢慢来,8.8,28698
橙,8.3,28246
悲惨世界（上中下）,8.9,27132
盗墓笔记4,8.4,28412
巴别塔之犬,7.7,29697
香水,8.5,27633
梦里花落知多少,8.9,27921
一只特立独行的猪,8.8,28187
局外人,9.0,31858
一个人的朝圣,8.1,31234
史蒂夫·乔布斯传,8.7,27341
看不见的城市,8.8,26714
长恨歌,8.3,28642
匆匆那年（上下）,8.3,27335
草样年华,7.1,29969
往事并不如烟,8.6,26506
蔷薇岛屿,8.0,27592
我的路,8.6,26019
菊与刀,8.2,28434
倾城之恋,8.7,26387
刀锋,9.0,27317
球状闪电,8.7,26904
谁动了我的奶酪？,7.1,29933
飞鸟集,8.8,25628
七夜雪,8.4,25720
曾有一个人，爱我如生命,7.5,27644
那些年，我们一起追的女孩,8.2,26344
伊豆的舞女,8.2,26903
世界尽头与冷酷仙境,8.6,25759
傲慢与偏见,9.0,25292
最初的爱情 最后的仪式,8.0,26398
鬼吹灯之云南虫谷,8.0,26653
明朝那些事儿（柒）：大结局,8.9,24793
把时间当作朋友,8.5,25833
秘密,7.3,28286
天使与魔鬼,8.2,25864
拆掉思维里的墙,7.9,26854
明朝那些事儿（陆）,8.8,24847
佛祖在一号线,8.2,25385
倚天屠龙记(共四册),8.5,25257
阿狸·梦之城堡,9.0,23788
杜拉拉2华年似水,7.3,27234
不朽,7.6,26433
